,experiment,hour,device_make,platform_os,browser,yes
421,exposed,2,Samsung,101,15,1.0
422,exposed,5,Apple,101,15,0.0
423,exposed,19,Apple,101,7,1.0
424,exposed,12,Samsung,101,6,1.0
425,exposed,12,Apple,101,7,0.0
426,exposed,12,Apple,144,7,0.0
427,control,13,Apple,101,15,0.0
428,exposed,19,Google,101,6,0.0
429,control,4,Apple,101,15,0.0
430,exposed,12,Samsung,101,15,0.0
431,exposed,4,Samsung,101,6,1.0
432,exposed,16,Samsung,101,15,0.0
433,exposed,4,Apple,175,7,1.0
434,control,21,Apple,101,15,1.0
435,exposed,23,Samsung,162,6,0.0
436,exposed,1,Google,101,6,0.0
437,control,5,Apple,101,7,0.0
438,control,0,Apple,178,6,0.0
439,exposed,20,Samsung,101,6,1.0
440,exposed,11,Samsung,101,6,1.0
441,control,2,Apple,175,7,0.0
442,exposed,19,Samsung,101,6,1.0
443,control,13,Samsung,156,6,1.0
444,control,4,Apple,101,15,0.0
445,control,1,Apple,101,7,0.0
446,control,11,Apple,101,15,0.0
447,control,3,Apple,101,7,1.0
448,control,20,Apple,178,7,1.0
449,control,22,Apple,101,15,0.0
450,exposed,21,Samsung,101,6,1.0
451,exposed,19,Apple,101,6,0.0
452,exposed,4,Google,101,15,0.0
453,control,0,Apple,101,15,0.0
454,control,9,Google,101,6,0.0
455,exposed,18,Samsung,101,6,1.0
456,exposed,21,Samsung,101,6,1.0
457,exposed,15,Samsung,101,6,1.0
458,control,5,Apple,101,7,1.0
459,exposed,14,Google,101,6,1.0
460,exposed,9,Apple,101,7,0.0
461,exposed,5,Apple,101,15,0.0
462,exposed,14,Apple,101,15,0.0
463,exposed,1,Samsung,101,6,0.0
464,exposed,14,Samsung,101,6,1.0
465,exposed,6,Samsung,101,6,1.0
466,control,15,Apple,178,6,0.0
467,control,4,Apple,101,15,0.0
468,exposed,12,Samsung,101,6,0.0
469,exposed,4,Samsung,101,6,1.0
470,exposed,5,Samsung,101,15,1.0
471,exposed,13,Apple,101,7,0.0
472,control,1,Apple,101,6,0.0
473,exposed,14,Apple,101,7,1.0
474,exposed,7,Google,101,6,1.0
475,control,5,Apple,101,7,0.0
476,exposed,18,Google,101,6,1.0
477,exposed,11,Apple,101,7,1.0
478,exposed,3,Samsung,162,6,0.0
479,exposed,4,Apple,153,7,0.0
480,control,0,Apple,178,7,1.0
481,control,4,Apple,144,7,0.0
482,exposed,10,Samsung,101,15,0.0
483,exposed,17,Google,101,6,0.0
484,control,7,Apple,101,6,0.0
485,exposed,20,Samsung,101,6,1.0
486,exposed,2,Samsung,101,6,1.0
487,exposed,1,Google,101,6,1.0
488,exposed,4,Samsung,101,15,1.0
489,exposed,9,Samsung,162,6,1.0
490,control,20,Apple,174,6,0.0
491,exposed,1,Sonim,156,15,1.0
492,control,2,Apple,101,6,0.0
493,exposed,11,Samsung,162,6,0.0
494,control,2,Apple,101,7,0.0
495,exposed,20,Google,101,6,1.0
496,exposed,14,Samsung,101,6,1.0
497,exposed,6,Samsung,155,15,1.0
498,exposed,17,Samsung,101,6,1.0
499,control,0,Apple,101,7,0.0
500,control,2,Apple,178,15,0.0
501,control,22,Apple,101,7,1.0
502,exposed,0,Apple,175,7,0.0
503,exposed,4,Apple,101,7,1.0
504,control,11,Apple,173,6,1.0
505,exposed,21,Samsung,101,6,1.0
506,exposed,3,Google,101,6,1.0
507,control,4,Samsung,162,6,0.0
508,exposed,13,Samsung,101,15,1.0
509,control,16,Apple,101,7,0.0
510,exposed,4,Google,101,6,1.0
511,exposed,7,Samsung,101,6,0.0
512,exposed,15,Apple,178,15,1.0
513,control,13,Apple,101,15,0.0
514,exposed,3,Google,101,6,1.0
515,exposed,16,Apple,101,15,1.0
516,control,5,Apple,101,7,0.0
517,exposed,0,Apple,178,15,1.0
518,exposed,2,Google,101,6,1.0
519,exposed,5,Samsung,101,6,1.0
